Symbol
AAPL
MSFT
AMZN
GOOGL
BRK-B
NVDA
TSLA
XOM
UNH
JNJ
META
JPM
V
HD
PG
MA
CVX
LLY
MRK
ABBV
BAC
PFE
AVGO
PEP
KO
COST
TMO
DIS
WMT
MCD
CSCO
ABT
WFC
ACN
ADBE
VZ
DHR
CMCSA
CRM
TXN
NFLX
LIN
BMY
NKE
PM
NEE
QCOM
RTX
T
